DATE;SBC1;SBC2;SBC3;SBC4;INSIDE1;INSIDE2;OUTSIDE
2019-08-30 09:56:07;61.000;65.000;64.000;62.000;39.625;35.250;21.188
2019-08-30 09:56:23;61.000;65.000;64.000;62.000;39.750;35.250;21.188
2019-08-30 09:56:40;61.000;65.000;63.000;62.000;39.750;35.250;21.188
2019-08-30 09:56:56;61.000;65.000;64.000;62.000;39.688;35.312;21.125
2019-08-30 09:57:12;61.000;65.000;64.000;62.000;39.688;35.312;21.125
2019-08-30 09:57:29;61.000;65.000;64.000;62.000;39.750;35.312;21.125
2019-08-30 09:57:45;61.000;65.000;64.000;62.000;39.750;35.312;21.125
2019-08-30 09:58:01;61.000;65.000;64.000;62.000;39.812;35.312;21.125
2019-08-30 09:58:18;61.000;65.000;64.000;62.000;39.688;35.312;21.188
2019-08-30 09:58:35;61.000;65.000;64.000;62.000;39.625;35.312;21.125
2019-08-30 09:58:51;61.000;65.000;64.000;62.000;39.625;35.312;21.125
2019-08-30 09:59:07;61.000;65.000;64.000;62.000;39.688;35.312;21.125
2019-08-30 09:59:24;61.000;65.000;64.000;62.000;39.750;35.312;21.125
2019-08-30 09:59:40;61.000;65.000;64.000;62.000;39.750;35.312;21.125
2019-08-30 09:59:57;61.000;65.000;64.000;62.000;39.688;35.375;21.125
2019-08-30 10:00:13;61.000;65.000;64.000;62.000;39.688;35.312;21.125
2019-08-30 10:00:30;61.000;65.000;64.000;62.000;39.688;35.375;21.125
2019-08-30 10:00:46;61.000;65.000;64.000;62.000;39.688;35.375;21.125
2019-08-30 10:01:02;61.000;65.000;64.000;62.000;39.688;35.312;21.125
2019-08-30 10:01:18;61.000;65.000;64.000;62.000;39.625;35.375;21.188
2019-08-30 10:01:35;61.000;65.000;64.000;62.000;39.625;35.375;21.188
2019-08-30 10:01:51;61.000;65.000;64.000;62.000;39.562;35.375;21.188
2019-08-30 10:02:07;61.000;65.000;64.000;62.000;39.688;35.375;21.188
2019-08-30 10:02:24;61.000;65.000;64.000;62.000;39.625;35.375;21.188
2019-08-30 10:02:40;61.000;65.000;64.000;62.000;39.625;35.312;21.125
2019-08-30 10:02:56;61.000;65.000;64.000;62.000;39.688;35.375;21.125
2019-08-30 10:03:12;61.000;65.000;64.000;62.000;39.750;35.375;21.125
2019-08-30 10:03:29;61.000;65.000;64.000;62.000;39.688;35.375;21.062
2019-08-30 10:03:45;61.000;65.000;64.000;62.000;39.750;35.375;21.062
2019-08-30 10:04:01;61.000;65.000;64.000;62.000;39.812;35.375;21.062
